date	experiment	round	assay	plate	condition	control	strain	row	col	trait	phenotype	.std.resid.x	.std.resid.y
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	F	8	n	-1.3910702520771565	-0.913682993699671	-0.13294026468319747
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	F	9	n	-19.53409929699518	-0.41330183783285257	-1.8638392332675897
20210409	ABZE	2	e	2	abz30	DMSO	N2	G	1	n	4.269769864145244	0.5874604739007842	0.40730568721019056
20210409	ABZE	2	e	2	abz30	DMSO	ECA2817	G	10	n	-9.391070252077157	-1.2775965616028115	-0.8974754244837345
20210409	ABZE	2	e	2	abz30	DMSO	ECA882	G	2	n	6.231631980778792	0.7694172578523545	0.5946084770814658
20210409	ABZE	2	e	2	abz30	DMSO	ECA2795	G	3	n	6.203317414566669	-0.5042802298086377	0.5926326393355152
20210409	ABZE	2	e	2	abz30	DMSO	ECA2798	G	4	n	12.239541214388506	0.2690361019855362	1.167296923492831
20210409	ABZE	2	e	2	abz30	DMSO	ECA2799	G	5	n	-1.138009452186795	-0.5952586217844229	-0.10860693137117633
20210409	ABZE	2	e	2	abz30	DMSO	ECA2801	G	6	n	2.7938769141212614	0.5874604739007842	0.2665648749797689
20210409	ABZE	2	e	2	abz30	DMSO	ECA2804	G	7	n	25.4111377249499	2.4070283134164874	2.4350568708184537
20210409	ABZE	2	e	2	abz30	DMSO	ECA2805	G	8	n	-0.3910702520771565	-0.8681937977117784	-0.03737336970813033
20210409	ABZE	2	e	2	abz30	DMSO	ECA2816	G	9	n	-4.53409929699518	0.2690361019855362	-0.43261949418730355
20210409	ABZE	2	e	3	fbz30	DMSO	N2	A	1	n	-24.51898926421812	-0.790449456023177	-2.5007560050740985
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2817	A	10	n	-0.2936608478814229	-0.8382313747810546	-0.030008156745373486
20210409	ABZE	2	e	3	fbz30	DMSO	ECA882	A	2	n	-0.3995407399861506	0.45188043168164344	-0.04076128263192975
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2798	A	4	n	-8.70666290771499	-0.6948856185074214	-0.8878028287678779
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2799	A	5	n	13.481065301300267	0.11740700037649945	1.3756146564403933
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2801	A	6	n	4.119232080915376	0.6430081067131542	0.4202115490642904
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2804	A	7	n	-4.919494298623469	0.9774815380182981	-0.5041278056959095
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2805	A	8	n	-15.293660847881423	-1.5549601561492201	-1.562804763538411
20210409	ABZE	2	e	3	fbz30	DMSO	ECA2816	A	9	n	-3.183385397943848	0.3085346754080103	-0.32475897136538967
